Country Name,Latitude (generated),Longitude (generated),CO2 (kt)
Zimbabwe,-19.098,30.047,525143.736
Zambia,-15.13,25.268,143797.738
"Yemen, Rep.",15.569,47.793,502023.301
West Bank and Gaza,32.097,35.26,23850.168
Virgin Islands (U.S.),17.7289,-64.7592,
Vietnam,21.75,105.373,2137142.268
"Venezuela, RB",6.983,-64.588,5720993.043
Vanuatu,-15.339,166.89,3428.645
Uzbekistan,41.757,63.958,2308288.492
Uruguay,-32.948,-56.249,273811.223
United States,40.0792,-98.8164,244402143.357
United Kingdom,52.289,-1.259,29651728.7
United Arab Emirates,23.9299,53.9031,2960959.487
Ukraine,49.364,32.132,7295558.839
Uganda,1.9392,32.7415,64583.204
Tuvalu,-7.4786,178.6758,
Turks and Caicos Islands,21.7779,-71.7592,1565.809
Turkmenistan,39.584,59.597,823978.567
Turkey,39.144,34.188,6704812.473
Tunisia,35.594,9.421,635293.082
Trinidad and Tobago,10.4435,-61.2604,988436.183
Tonga,-21.167,-175.19,3146.286
Togo,7.7,1.106,40590.023
Timor-Leste,-8.856,125.556,1778.495
Thailand,15.688,100.845,5370827.546
Tanzania,-5.651,34.146,146419.643
Tajikistan,38.367,72.597,58055.944
Syrian Arab Republic,35.303,38.322,1580194.641
Switzerland,46.7794,8.0329,1998614.009
Sweden,66.2188,19,3240634.243
Swaziland,-26.5203,31.4607,27960.875
Suriname,4.248,-55.848,94989.968
Sudan,15.739,29.533,292025.212
St. Vincent and the Grenadines,13.2528,-61.1949,4800.103
St. Martin (French part),18.0848,-63.0507,
St. Lucia,13.909,-60.9776,9464.527
St. Kitts and Nevis,17.147,-62.58,4686.426
Sri Lanka,7.3,80.727,306451.19
Spain,40.617,-3.388,10648571.964
South Sudan,7.1,30.48,
South Africa,-31.7,23.441,14554444.011
Somalia,2.875,43.446,20634.209
Solomon Islands,-9.5987,160.1487,6116.556
Slovenia,46.037,14.534,302736.519
Slovak Republic,48.8595,19.4434,782028.087
Sint Maarten (Dutch part),18.034,-63.0544,
Singapore,1.3389,103.8297,1531878.249
Sierra Leone,8.677,-11.779,27854.532
Seychelles,-4.6841,55.4924,12409.128
Serbia,44.021,20.699,299087.854
Senegal,15.044,-15.081,160101.22
Saudi Arabia,24.191,44.32,10210574.483
Sao Tome and Principe,0.216,6.595,2214.868
San Marino,43.942,12.4611,
Samoa,-13.6221,-172.439,5309.816
Rwanda,-1.887,29.904,20128.163
Russian Federation,64.736,104.062,33210676.878
Romania,45.933,25.119,6703459.35
Qatar,25.3174,51.1522,1204374.812
Puerto Rico,18.242,-66.643,
Portugal,40.957,-7.9373,1841398.718
Poland,52.442,19.72,17662303.518
Philippines,17.181,121.256,2265065.563
Peru,-12.664,-72.98,1256761.574
Paraguay,-23.266,-58.409,116980.967
Papua New Guinea,-5.636,142.798,112620.904
Panama,8.348,-81.005,205451.009
Palau,7.5288,134.5573,7605.358
Pakistan,28.1854,66.6429,3392708.4
Oman,19.85,56.25,719010.692
Norway,61.3701,9.3031,1702767.783
Northern Mariana Islands,15.1905,145.7471,
Nigeria,9.3417,7.678,2754445.048
Niger,16.996,9.915,33982.089
Nicaragua,12.692,-85.03,129214.079
New Zealand,-42.558,172.377,1188577.376
New Caledonia,-21.02,165.062,100629.814
Netherlands,52.1704,5.0102,7808982.843
Nepal,28.2114,83.5608,69819.68
Namibia,-21.276,17.219,42405.188
Myanmar,21.841,96.05,323187.378
Mozambique,-13.852,38.042,105943.297
Morocco,31.129,-7.355,1182757.847
Montenegro,42.857,19.096,16420.826
Mongolia,46.516,102.564,356366.394
Monaco,43.7384,7.4243,
Moldova,47.524,28.444,143145.012
"Micronesia, Fed. Sts.",7.531,150.457,1954.511
Mexico,22.925,-101.68,14023235.057
Mauritius,-20.2529,57.5902,75708.882
Mauritania,19.413,-10.6528,66614.722
Marshall Islands,5.961,169.651,1712.489
Malta,35.9024,14.4137,79804.921
Mali,18.211,-2.209,25859.684
Maldives,4.221,73.463,13468.891
Malaysia,4.416,102.099,3678206.352
Malawi,-13.2731,33.7428,33230.354
Madagascar,-19.615,46.645,63890.141
"Macedonia, FYR",41.636,21.676,214402.156
"Macao SAR, China",22.1404,113.5643,42713.216
Luxembourg,49.671,6.113,555227.804
Lithuania,55.342,24.23,296022.242
Liechtenstein,47.1593,9.547,304.361
Libya,27.24,17.571,1651202.429
Liberia,6.51,-9.33,41745.128
Lesotho,-29.446,28.371,12992.181
Lebanon,34.161,36.021,501128.553
Latvia,57.017,25.0173,167794.586
Lao PDR,19.595,102.538,25782.677
Kyrgyz Republic,41.741,75.043,116456.586
Kuwait,29.3169,47.4272,2001202.911
Kosovo,42.546,20.921,
"Korea, Rep.",36.338,128.16,12194824.853
"Korea, Dem. People’s Rep.",,,1062887.284
Kiribati,2.048,-158.59,1507.137
Kenya,0.806,38.166,314096.885
Kazakhstan,48.866,69.772,3656681.062
Jordan,30.681,36.279,482654.207
Japan,35.962,137.855,48249381.242
